row,method,distinction,accuracy
"same grid/CFL, field σ=0",FFT-shape,diff_disp,0.9463
"same grid/CFL, field σ=0",FFT-shape,lw_bw,0.5775
"same grid/CFL, field σ=0",strong-form,diff_disp,0.9950
"same grid/CFL, field σ=0",strong-form,lw_bw,1.0000
"same grid/CFL, field σ=0",weak-form,diff_disp,0.9950
"same grid/CFL, field σ=0",weak-form,lw_bw,1.0000
"same grid/CFL, field σ=0.01",FFT-shape,diff_disp,0.9988
"same grid/CFL, field σ=0.01",FFT-shape,lw_bw,0.5050
"same grid/CFL, field σ=0.01",strong-form,diff_disp,0.9963
"same grid/CFL, field σ=0.01",strong-form,lw_bw,0.9825
"same grid/CFL, field σ=0.01",weak-form,diff_disp,0.9313
"same grid/CFL, field σ=0.01",weak-form,lw_bw,0.9950
"same grid/CFL, field σ=0.05",FFT-shape,diff_disp,0.9925
"same grid/CFL, field σ=0.05",FFT-shape,lw_bw,0.4725
"same grid/CFL, field σ=0.05",strong-form,diff_disp,0.9650
"same grid/CFL, field σ=0.05",strong-form,lw_bw,0.9350
"same grid/CFL, field σ=0.05",weak-form,diff_disp,0.8962
"same grid/CFL, field σ=0.05",weak-form,lw_bw,0.9275
"TRANSFER grid/CFL, field σ=0.01  [DECISION]",FFT-shape,diff_disp,0.8839
"TRANSFER grid/CFL, field σ=0.01  [DECISION]",FFT-shape,lw_bw,0.4990
"TRANSFER grid/CFL, field σ=0.01  [DECISION]",strong-form,diff_disp,0.9875
"TRANSFER grid/CFL, field σ=0.01  [DECISION]",strong-form,lw_bw,0.9740
"TRANSFER grid/CFL, field σ=0.01  [DECISION]",weak-form,diff_disp,0.9365
"TRANSFER grid/CFL, field σ=0.01  [DECISION]",weak-form,lw_bw,0.9490
"resid-rel σ=0.01 (clean-limit comparator)",FFT-shape,diff_disp,0.7050
"resid-rel σ=0.01 (clean-limit comparator)",FFT-shape,lw_bw,0.4650
"resid-rel σ=0.01 (clean-limit comparator)",strong-form,diff_disp,0.9938
"resid-rel σ=0.01 (clean-limit comparator)",strong-form,lw_bw,1.0000
"resid-rel σ=0.01 (clean-limit comparator)",weak-form,diff_disp,0.9925
"resid-rel σ=0.01 (clean-limit comparator)",weak-form,lw_bw,1.0000
